category,segment,sales,ad_spend,social_engagement,stock_level,satisfaction_score,aov,eco_index,roas,social_efficiency,inventory_status,strategic_recommendation
Electronics,60+,481,970.8896807568424,200,57,3,59.70436010084518,1,0.5,0.21,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Electronics,46-60,457,479.93150935986125,318,59,4,51.611526736433426,1.1,0.95,0.66,HEALTHY,"STABLE: Monitor KPIs"
Electronics,60+,466,772.7358500167122,181,84,5,77.35869714424547,0.9,0.6,0.23,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Fashion,60+,459,1014.3831261866058,914,94,4,50.87148680078025,1.1,0.45,0.9,HEALTHY,"STABLE: Monitor KPIs"
Home,36-45,214,460.3568410259387,873,74,5,37.141211682639224,0.9,0.46,1.9,HEALTHY,"STABLE: Monitor KPIs"
Home,60+,281,1236.8227145967915,220,33,5,122.25115987396092,1.1,0.23,0.18,LOW,"BUDGET CUT: Marketing Underperforming"
Beauty,18-25,175,1502.784030759004,201,51,3,166.78433820415245,0.9,0.12,0.13,HEALTHY,"BUDGET CUT: Marketing Underperforming"
Sports,36-45,249,1254.8576699293808,460,22,5,149.63262517758446,1,0.2,0.37,LOW,"BUDGET CUT: Marketing Underperforming"
Home,26-35,136,1202.469568887062,865,61,3,161.8510852521412,1.1,0.11,0.72,HEALTHY,"STABLE: Monitor KPIs"
Home,46-60,454,1353.9831863453444,624,40,1,65.00022071106558,1,0.34,0.46,LOW,"BUDGET CUT: Marketing Underperforming"
Sports,26-35,90,1469.0232232560406,875,97,3,128.35421199128177,1,0.06,0.6,HEALTHY,"STABLE: Monitor KPIs"
Electronics,46-60,316,1215.3997848571514,382,45,3,174.74568818549324,1.1,0.26,0.31,LOW,"BUDGET CUT: Marketing Underperforming"
Beauty,18-25,274,637.4322147229127,320,14,4,38.411096526204105,0.9,0.43,0.5,CRITICAL,"STABLE: Monitor KPIs"
Fashion,26-35,216,828.6483799398424,445,55,2,66.32269966995045,1,0.26,0.54,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
Sports,26-35,181,722.8897088643745,730,83,5,107.90400866988833,1.1,0.25,1.01,HEALTHY,"STABLE: Monitor KPIs"
Fashion,60+,135,754.4143846821025,240,42,1,177.35229379422418,0.9,0.18,0.32,LOW,"BUDGET CUT: Marketing Underperforming"
Home,36-45,181,759.7442639255582,958,95,3,50.25913725782624,1,0.24,1.26,HEALTHY,"STABLE: Monitor KPIs"
Electronics,18-25,366,1220.6008184360808,270,28,3,189.6961477046372,1,0.3,0.22,LOW,"BUDGET CUT: Marketing Underperforming"
Fashion,36-45,138,756.8229409763495,489,18,5,116.38820887913658,0.9,0.18,0.65,CRITICAL,"STABLE: Monitor KPIs"
Sports,26-35,348,944.654637285692,938,32,4,64.21318433188554,0.9,0.37,0.99,LOW,"STABLE: Monitor KPIs"
Fashion,18-25,133,898.9981508850336,868,87,2,123.79380696185106,1.1,0.15,0.97,HEALTHY,"QUALITY CHECK: High Returns/Complaints"
